REPORT_DAT,SHIFT,OFFENSE,METHOD,addresses,lon,lat,geoaddress,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE,geoAddress
11/21/16 15:56,EVENING,MOTOR VEHICLE THEFT,OTHERS,"1000 VERMONT AVENUE NW, WASHINGTON, DC",-77.033934,38.902866,NA,2,207,2,2F,Cluster 8,010100 1,10100,Precinct 129,16198201,397101,137254,9/21/16 14:25,11/21/16 14:25,"1000 vermont ave nw, washington, dc 20005, usa"
10/24/16 1:29,MIDNIGHT,THEFT F/AUTO,OTHERS,"1000 VERMONT AVENUE NW, WASHINGTON, DC",-77.033934,38.902866,NA,2,207,2,2F,Cluster 8,010100 1,10100,Precinct 129,16180856,397101,137254,10/24/16 0:13,10/24/16 1:09,"1000 vermont ave nw, washington, dc 20005, usa"
10/17/16 21:15,EVENING,THEFT/OTHER,OTHERS,"1000 VERMONT AVENUE NW, WASHINGTON, DC",-77.033934,38.902866,NA,2,207,2,2F,Cluster 8,010100 1,10100,Precinct 129,16176668,397101,137254,10/17/16 14:15,10/17/16 15:30,"1000 vermont ave nw, washington, dc 20005, usa"
9/13/16 11:08,DAY,MOTOR VEHICLE THEFT,OTHERS,"1000 VERMONT AVENUE NW, WASHINGTON, DC",-77.033934,38.902866,NA,2,207,2,2F,Cluster 8,010100 1,10100,Precinct 129,16155033,397101,137254,9/9/16 21:00,9/12/16 15:00,"1000 vermont ave nw, washington, dc 20005, usa"
8/23/16 23:18,MIDNIGHT,THEFT/OTHER,OTHERS,"1000 VERMONT AVENUE NW, WASHINGTON, DC",-77.033934,38.902866,NA,2,207,2,2F,Cluster 8,010100 1,10100,Precinct 129,16142008,397101,137254,8/23/16 22:00,8/23/16 22:10,"1000 vermont ave nw, washington, dc 20005, usa"
8/12/16 15:47,EVENING,MOTOR VEHICLE THEFT,OTHERS,"1000 VERMONT AVENUE NW, WASHINGTON, DC",-77.033934,38.902866,NA,2,207,2,2F,Cluster 8,010100 1,10100,Precinct 129,16134853,397101,137254,8/12/16 1:30,8/12/16 1:45,"1000 vermont ave nw, washington, dc 20005, usa"
7/23/16 13:43,DAY,THEFT/OTHER,OTHERS,"1000 VERMONT AVENUE NW, WASHINGTON, DC",-77.033934,38.902866,NA,2,207,2,2F,Cluster 8,010100 1,10100,Precinct 129,16122196,397101,137254,7/23/16 12:58,7/23/16 13:01,"1000 vermont ave nw, washington, dc 20005, usa"
7/15/16 21:08,EVENING,THEFT/OTHER,OTHERS,"1000 VERMONT AVENUE NW, WASHINGTON, DC",-77.033934,38.902866,NA,2,207,2,2F,Cluster 8,010100 1,10100,Precinct 129,16117304,397101,137254,7/15/16 19:40,7/15/16 19:44,"1000 vermont ave nw, washington, dc 20005, usa"
7/6/16 17:33,EVENING,THEFT/OTHER,OTHERS,"1000 VERMONT AVENUE NW, WASHINGTON, DC",-77.033934,38.902866,NA,2,207,2,2F,Cluster 8,010100 1,10100,Precinct 129,16111594,397101,137254,7/6/16 12:40,7/6/16 13:40,"1000 vermont ave nw, washington, dc 20005, usa"
5/20/17 3:21,MIDNIGHT,THEFT F/AUTO,OTHERS,"1000 W STREET NW, WASHINGTON, DC",-77.025992,38.919181,NA,3,305,1,1B,Cluster 3,004400 1,4400,Precinct 22,17084508,397700,139035,5/20/17 2:47,5/20/17 3:21,"1000 w st nw, washington, dc 20001, usa"
1/27/17 21:36,EVENING,THEFT F/AUTO,OTHERS,"1000 W STREET NW, WASHINGTON, DC",-77.025992,38.919181,NA,3,305,1,1B,Cluster 3,004400 1,4400,Precinct 22,17015435,397700,139035,1/27/17 20:00,1/27/17 21:00,"1000 w st nw, washington, dc 20001, usa"
1/13/17 8:27,DAY,THEFT F/AUTO,OTHERS,"1000 W STREET NW, WASHINGTON, DC",-77.025992,38.919181,NA,3,305,1,1B,Cluster 3,004400 1,4400,Precinct 22,17006922,397700,139035,1/12/17 23:00,1/13/17 7:49,"1000 w st nw, washington, dc 20001, usa"
9/23/16 16:18,EVENING,THEFT/OTHER,OTHERS,"1000 W STREET NW, WASHINGTON, DC",-77.025992,38.919181,NA,3,305,1,1B,Cluster 3,004400 1,4400,Precinct 22,16161743,397700,139035,9/23/16 14:00,9/23/16 14:15,"1000 w st nw, washington, dc 20001, usa"
6/6/16 19:28,EVENING,THEFT F/AUTO,OTHERS,"1000 W STREET NW, WASHINGTON, DC",-77.025992,38.919181,NA,3,305,1,1B,Cluster 3,004400 1,4400,Precinct 22,16091689,397700,139035,6/6/16 15:48,6/6/16 15:55,"1000 w st nw, washington, dc 20001, usa"
6/3/17 7:31,DAY,MOTOR VEHICLE THEFT,OTHERS,"1000 WAHLER PLACE SE, WASHINGTON, DC",-76.9908151,38.8343406,NA,7,706,8,8E,Cluster 39,009700 1,9700,Precinct 121,17093774,400820,129643,6/3/17 0:30,6/3/17 1:41,"1000 wahler pl se, washington, dc 20032, usa"
6/9/17 12:53,DAY,THEFT/OTHER,OTHERS,"1000 WISCONSIN AVENUE NW, WASHINGTON, DC",-77.0629841,38.9027072,NA,2,206,2,2E,Cluster 4,000202 4,202,Precinct 6,17097875,394555,137240,6/6/17 19:00,6/7/17 7:00,"1000 wisconsin ave nw, washington, dc 20007, usa"
5/18/17 9:01,DAY,ROBBERY,OTHERS,"1000 WISCONSIN AVENUE NW, WASHINGTON, DC",-77.0629841,38.9027072,NA,2,206,2,2E,Cluster 4,000202 4,202,Precinct 6,17083105,394555,137240,5/18/17 0:01,5/18/17 0:30,"1000 wisconsin ave nw, washington, dc 20007, usa"
3/30/17 15:38,EVENING,THEFT/OTHER,OTHERS,"1000 WISCONSIN AVENUE NW, WASHINGTON, DC",-77.0629841,38.9027072,NA,2,206,2,2E,Cluster 4,000202 4,202,Precinct 6,17051774,394555,137240,3/30/17 15:11,3/30/17 15:38,"1000 wisconsin ave nw, washington, dc 20007, usa"
1/18/17 21:46,EVENING,THEFT F/AUTO,OTHERS,"1000 WISCONSIN AVENUE NW, WASHINGTON, DC",-77.0629841,38.9027072,NA,2,206,2,2E,Cluster 4,000202 4,202,Precinct 6,17010170,394555,137240,1/18/17 18:10,1/18/17 19:20,"1000 wisconsin ave nw, washington, dc 20007, usa"
1/18/17 20:29,EVENING,THEFT F/AUTO,OTHERS,"1000 WISCONSIN AVENUE NW, WASHINGTON, DC",-77.0629841,38.9027072,NA,2,206,2,2E,Cluster 4,000202 4,202,Precinct 6,17010177,394555,137240,1/18/17 19:17,1/18/17 19:45,"1000 wisconsin ave nw, washington, dc 20007, usa"
12/14/16 18:45,EVENING,THEFT F/AUTO,OTHERS,"1000 WISCONSIN AVENUE NW, WASHINGTON, DC",-77.0629841,38.9027072,NA,2,206,2,2E,Cluster 4,000202 4,202,Precinct 6,16211188,394555,137240,12/14/16 16:00,12/14/16 17:30,"1000 wisconsin ave nw, washington, dc 20007, usa"
11/23/16 16:43,EVENING,THEFT/OTHER,OTHERS,"1000 WISCONSIN AVENUE NW, WASHINGTON, DC",-77.0629841,38.9027072,NA,2,206,2,2E,Cluster 4,000202 4,202,Precinct 6,16199395,394555,137240,11/23/16 15:04,11/23/16 16:40,"1000 wisconsin ave nw, washington, dc 20007, usa"
6/20/16 20:59,EVENING,THEFT F/AUTO,OTHERS,"1000 WISCONSIN AVENUE NW, WASHINGTON, DC",-77.0629841,38.9027072,NA,2,206,2,2E,Cluster 4,000202 4,202,Precinct 6,16100956,394555,137240,6/20/16 12:00,6/20/16 13:20,"1000 wisconsin ave nw, washington, dc 20007, usa"
5/6/17 16:49,EVENING,THEFT F/AUTO,OTHERS,"1001 FLORIDA AVENUE NE, WASHINGTON, DC",-76.9926043,38.9037612,NA,5,506,6,6A,Cluster 23,008410 1,8410,Precinct 82,17075493,400687,137300,5/6/17 14:28,5/6/17 15:27,"1001 florida ave ne, washington, dc 20002, usa"
1/20/17 17:05,EVENING,THEFT/OTHER,OTHERS,"1001 FLORIDA AVENUE NE, WASHINGTON, DC",-76.9926043,38.9037612,NA,5,506,6,6A,Cluster 23,008410 1,8410,Precinct 82,17011165,400687,137300,1/19/17 23:30,1/20/17 15:00,"1001 florida ave ne, washington, dc 20002, usa"
12/18/16 18:25,EVENING,THEFT F/AUTO,OTHERS,"1001 FLORIDA AVENUE NE, WASHINGTON, DC",-76.9926043,38.9037612,NA,1,104,6,6A,Cluster 23,008410 1,8410,Precinct 82,16213503,400687,137300,12/18/16 16:13,12/18/16 16:51,"1001 florida ave ne, washington, dc 20002, usa"
12/15/16 8:17,DAY,THEFT F/AUTO,OTHERS,"1001 FLORIDA AVENUE NE, WASHINGTON, DC",-76.9926043,38.9037612,NA,1,104,6,6A,Cluster 23,008410 1,8410,Precinct 82,16211465,400687,137300,12/14/16 22:00,12/15/16 7:15,"1001 florida ave ne, washington, dc 20002, usa"
10/17/16 18:06,EVENING,THEFT F/AUTO,OTHERS,"1001 FLORIDA AVENUE NE, WASHINGTON, DC",-76.9926043,38.9037612,NA,5,506,6,6A,Cluster 23,008410 1,8410,Precinct 82,16176676,400687,137300,10/17/16 16:56,10/17/16 17:45,"1001 florida ave ne, washington, dc 20002, usa"
9/7/16 20:33,EVENING,THEFT/OTHER,OTHERS,"1001 FLORIDA AVENUE NE, WASHINGTON, DC",-76.9926043,38.9037612,NA,1,104,6,6A,Cluster 23,008410 1,8410,Precinct 82,16151516,400687,137300,9/7/16 19:50,9/7/16 19:55,"1001 florida ave ne, washington, dc 20002, usa"
7/25/16 1:13,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,OTHERS,"1001 FLORIDA AVENUE NE, WASHINGTON, DC",-76.9926043,38.9037612,NA,5,506,6,6A,Cluster 23,008410 1,8410,Precinct 82,16123119,400687,137300,7/24/16 23:45,7/24/16 23:55,"1001 florida ave ne, washington, dc 20002, usa"
7/10/16 20:30,EVENING,THEFT/OTHER,OTHERS,"1001 FLORIDA AVENUE NE, WASHINGTON, DC",-76.9926043,38.9037612,NA,1,104,6,6A,Cluster 23,008410 1,8410,Precinct 82,16114083,400687,137300,7/10/16 19:23,7/10/16 19:56,"1001 florida ave ne, washington, dc 20002, usa"
3/13/17 22:00,EVENING,THEFT/OTHER,OTHERS,"1003 8TH STREET NE, WASHINGTON, DC",-76.994717,38.9030967,NA,1,104,6,6C,Cluster 25,010600 3,10600,Precinct 83,17041692,400437,137267,3/13/17 12:15,3/13/17 16:00,"1003 8th st ne, washington, dc 20002, usa"
1/22/17 2:00,MIDNIGHT,BURGLARY,OTHERS,"1003 8TH STREET NE, WASHINGTON, DC",-76.994717,38.9030967,NA,1,104,6,6C,Cluster 25,010600 3,10600,Precinct 83,17011969,400437,137267,1/17/17 2:37,1/17/17 2:40,"1003 8th st ne, washington, dc 20002, usa"
12/13/16 14:03,DAY,THEFT F/AUTO,OTHERS,"1003 8TH STREET NE, WASHINGTON, DC",-76.994717,38.9030967,NA,1,104,6,6C,Cluster 25,010600 3,10600,Precinct 83,16210437,400437,137267,12/12/16 22:30,12/13/16 10:00,"1003 8th st ne, washington, dc 20002, usa"
11/29/16 21:49,EVENING,THEFT/OTHER,OTHERS,"1003 8TH STREET NE, WASHINGTON, DC",-76.994717,38.9030967,NA,1,104,6,6C,Cluster 25,010600 3,10600,Precinct 83,16202671,400437,137267,11/29/16 21:18,11/29/16 21:49,"1003 8th st ne, washington, dc 20002, usa"
6/13/16 15:13,EVENING,THEFT/OTHER,OTHERS,"1003 8TH STREET NE, WASHINGTON, DC",-76.994717,38.9030967,NA,1,104,6,6C,Cluster 25,010600 3,10600,Precinct 83,16401113,400437,137267,6/7/16 19:55,6/7/16 19:59,"1003 8th st ne, washington, dc 20002, usa"
3/28/17 11:23,DAY,THEFT/OTHER,OTHERS,"1004 7TH STREET NW, WASHINGTON, DC",-77.0219107,38.9030058,NA,3,308,2,2F,Cluster 8,004902 2,4902,Precinct 129,17050300,398099,137299,3/24/17 10:18,,"1004 7th st nw, washington, dc 20001, usa"
2/1/17 9:25,DAY,THEFT F/AUTO,OTHERS,"1004 7TH STREET NW, WASHINGTON, DC",-77.0219107,38.9030058,NA,3,308,2,2F,Cluster 8,004902 2,4902,Precinct 129,17018053,398099,137299,1/31/17 18:00,1/31/17 20:15,"1004 7th st nw, washington, dc 20001, usa"
1/17/17 18:31,EVENING,THEFT F/AUTO,OTHERS,"1004 7TH STREET NW, WASHINGTON, DC",-77.0219107,38.9030058,NA,3,308,2,2F,Cluster 8,004902 2,4902,Precinct 129,17009473,398099,137299,1/17/17 15:30,1/17/17 17:00,"1004 7th st nw, washington, dc 20001, usa"
1/16/17 22:19,EVENING,THEFT F/AUTO,OTHERS,"1004 7TH STREET NW, WASHINGTON, DC",-77.0219107,38.9030058,NA,3,308,2,2F,Cluster 8,004902 2,4902,Precinct 129,17009012,398099,137299,1/16/17 17:45,1/16/17 22:14,"1004 7th st nw, washington, dc 20001, usa"
12/29/16 8:14,DAY,MOTOR VEHICLE THEFT,OTHERS,"1004 7TH STREET NW, WASHINGTON, DC",-77.0219107,38.9030058,NA,3,308,2,2F,Cluster 8,004902 2,4902,Precinct 129,16219109,398099,137299,12/28/16 6:30,12/28/16 15:00,"1004 7th st nw, washington, dc 20001, usa"
12/11/16 0:19,MIDNIGHT,THEFT F/AUTO,OTHERS,"1004 7TH STREET NW, WASHINGTON, DC",-77.0219107,38.9030058,NA,3,308,2,2F,Cluster 8,004902 2,4902,Precinct 129,16208900,398099,137299,12/10/16 13:00,12/10/16 15:00,"1004 7th st nw, washington, dc 20001, usa"
12/8/16 14:15,DAY,THEFT F/AUTO,OTHERS,"1004 7TH STREET NW, WASHINGTON, DC",-77.0219107,38.9030058,NA,3,308,2,2F,Cluster 8,004902 2,4902,Precinct 129,16207663,398099,137299,12/8/16 12:20,12/8/16 12:30,"1004 7th st nw, washington, dc 20001, usa"
12/1/16 15:52,EVENING,THEFT F/AUTO,OTHERS,"1004 7TH STREET NW, WASHINGTON, DC",-77.0219107,38.9030058,NA,3,308,2,2F,Cluster 8,004902 2,4902,Precinct 129,16203603,398099,137299,12/1/16 13:16,12/1/16 15:10,"1004 7th st nw, washington, dc 20001, usa"
11/28/16 2:03,MIDNIGHT,THEFT F/AUTO,OTHERS,"1004 7TH STREET NW, WASHINGTON, DC",-77.0219107,38.9030058,NA,3,308,2,2F,Cluster 8,004902 2,4902,Precinct 129,16201560,398099,137299,11/27/16 16:20,11/27/16 23:50,"1004 7th st nw, washington, dc 20001, usa"
11/18/16 13:41,DAY,THEFT F/AUTO,OTHERS,"1004 7TH STREET NW, WASHINGTON, DC",-77.0219107,38.9030058,NA,3,308,2,2F,Cluster 8,004902 2,4902,Precinct 129,16196360,398099,137299,11/18/16 11:00,11/18/16 12:00,"1004 7th st nw, washington, dc 20001, usa"
10/13/16 6:04,MIDNIGHT,THEFT F/AUTO,OTHERS,"1004 7TH STREET NW, WASHINGTON, DC",-77.0219107,38.9030058,NA,3,308,2,2F,Cluster 8,004902 2,4902,Precinct 129,17173744,398099,137299,10/12/16 21:00,10/12/16 23:00,"1004 7th st nw, washington, dc 20001, usa"
9/20/16 23:37,MIDNIGHT,THEFT/OTHER,OTHERS,"1004 7TH STREET NW, WASHINGTON, DC",-77.0219107,38.9030058,NA,3,308,2,2F,Cluster 8,004902 2,4902,Precinct 129,16160064,398099,137299,9/20/16 18:15,9/20/16 23:00,"1004 7th st nw, washington, dc 20001, usa"
8/12/16 6:35,MIDNIGHT,THEFT/OTHER,OTHERS,"1004 7TH STREET NW, WASHINGTON, DC",-77.0219107,38.9030058,NA,3,308,2,2F,Cluster 8,004902 2,4902,Precinct 129,16134194,398099,137299,8/10/16 22:30,8/11/16 1:00,"1004 7th st nw, washington, dc 20001, usa"
7/29/16 17:23,EVENING,THEFT/OTHER,OTHERS,"1004 7TH STREET NW, WASHINGTON, DC",-77.0219107,38.9030058,NA,3,308,2,2F,Cluster 8,004902 2,4902,Precinct 129,16126118,398099,137299,7/20/16 9:45,7/20/16 13:00,"1004 7th st nw, washington, dc 20001, usa"
6/6/17 15:10,EVENING,THEFT F/AUTO,OTHERS,"1006 46TH STREET NE, WASHINGTON, DC",-76.9368898,38.9030735,NA,6,602,7,7C,Cluster 31,007806 2,7806,Precinct 93,17095985,405524,137376,6/5/17 20:00,6/6/17 15:00,"1006 46th st ne, washington, dc 20019, usa"
9/1/16 11:55,DAY,THEFT F/AUTO,OTHERS,"1006 46TH STREET NE, WASHINGTON, DC",-76.9368898,38.9030735,NA,6,602,7,7C,Cluster 31,007806 2,7806,Precinct 93,16146826,405524,137376,8/31/16 13:10,8/31/16 13:20,"1006 46th st ne, washington, dc 20019, usa"
11/29/16 18:51,EVENING,THEFT F/AUTO,OTHERS,"1006 ANDERSON PLACE SE, WASHINGTON, DC",-76.9820659,38.8428558,NA,7,704,8,8E,Cluster 38,007304 1,7304,Precinct 120,16202485,401611,130566,11/29/16 8:00,11/29/16 16:00,"1006 anderson pl se, washington, dc 20032, usa"
6/5/17 13:27,DAY,THEFT/OTHER,OTHERS,"1008 RHODE ISLAND AVENUE NW, WASHINGTON, DC",-77.0265628,38.9105414,NA,3,307,6,6E,Cluster 7,004901 2,4901,Precinct 21,17095256,397673,138085,6/5/17 12:56,6/5/17 13:27,"1008 rhode island ave nw, washington, dc 20001, usa"
9/10/16 18:50,EVENING,THEFT/OTHER,OTHERS,"1008 RHODE ISLAND AVENUE NW, WASHINGTON, DC",-77.0265628,38.9105414,NA,3,307,6,6E,Cluster 7,004901 2,4901,Precinct 21,16153431,397673,138085,9/10/16 17:13,9/10/16 17:15,"1008 rhode island ave nw, washington, dc 20001, usa"
10/6/16 21:00,EVENING,THEFT F/AUTO,OTHERS,"1009 WAHLER PLACE SE, WASHINGTON, DC",-76.9900899,38.8345746,NA,7,706,8,8E,Cluster 39,009700 1,9700,Precinct 121,16170065,400892,129680,10/6/16 14:00,10/6/16 19:00,"1009 wahler pl se, washington, dc 20032, usa"
2/24/17 23:18,MIDNIGHT,BURGLARY,OTHERS,"101 RIDGE ROAD SE, WASHINGTON, DC",-76.951328,38.888015,NA,6,603,7,7F,Cluster 32,007703 3,7703,Precinct 107,17031916,404262,135527,2/24/17 12:00,2/24/17 18:00,"101 ridge rd se, washington, dc 20019, usa"
2/23/17 15:04,EVENING,ASSAULT W/DANGEROUS WEAPON,GUN,"101 RIDGE ROAD SE, WASHINGTON, DC",-76.951328,38.888015,NA,6,603,7,7F,Cluster 32,007703 3,7703,Precinct 107,17030911,404262,135527,2/23/17 13:22,,"101 ridge rd se, washington, dc 20019, usa"
1/24/17 16:27,EVENING,ASSAULT W/DANGEROUS WEAPON,OTHERS,"101 RIDGE ROAD SE, WASHINGTON, DC",-76.951328,38.888015,NA,6,603,7,7F,Cluster 32,007703 3,7703,Precinct 107,17013397,404262,135527,1/24/17 14:33,1/24/17 16:27,"101 ridge rd se, washington, dc 20019, usa"
12/30/16 9:58,DAY,THEFT/OTHER,OTHERS,"101 RIDGE ROAD SE, WASHINGTON, DC",-76.951328,38.888015,NA,6,603,7,7F,Cluster 32,007703 3,7703,Precinct 107,16219734,404262,135527,12/30/16 7:19,12/30/16 9:33,"101 ridge rd se, washington, dc 20019, usa"
10/26/16 0:45,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,"101 RIDGE ROAD SE, WASHINGTON, DC",-76.951328,38.888015,NA,6,603,7,7F,Cluster 32,007703 3,7703,Precinct 107,16182024,404262,135527,10/25/16 18:20,10/25/16 19:06,"101 ridge rd se, washington, dc 20019, usa"
9/9/16 10:05,DAY,MOTOR VEHICLE THEFT,OTHERS,"101 RIDGE ROAD SE, WASHINGTON, DC",-76.951328,38.888015,NA,6,603,7,7F,Cluster 32,007703 3,7703,Precinct 107,16152461,404262,135527,9/7/16 23:45,9/9/16 8:45,"101 ridge rd se, washington, dc 20019, usa"
6/26/16 15:11,EVENING,BURGLARY,OTHERS,"101 RIDGE ROAD SE, WASHINGTON, DC",-76.951328,38.888015,NA,6,603,7,7F,Cluster 32,007703 3,7703,Precinct 107,16104601,404262,135527,6/25/16 23:00,6/26/16 0:30,"101 ridge rd se, washington, dc 20019, usa"
5/27/17 13:06,DAY,MOTOR VEHICLE THEFT,OTHERS,"101 HARRY THOMAS WAY NE, WASHINGTON, DC",-77.0022629,38.9112348,NA,5,502,5,5E,Cluster 21,008702 2,8702,Precinct 75,17089244,399694,138079,5/26/17 21:00,5/27/17 10:50,"harry thomas way ne, washington, dc 20002, usa"
10/8/16 11:34,DAY,THEFT F/AUTO,OTHERS,"101 HARRY THOMAS WAY NE, WASHINGTON, DC",-77.0022629,38.9112348,NA,5,502,5,5E,Cluster 21,008702 2,8702,Precinct 75,16170988,399694,138079,10/7/16 22:00,10/8/16 8:45,"harry thomas way ne, washington, dc 20002, usa"
5/3/17 1:35,MIDNIGHT,THEFT/OTHER,OTHERS,"1010 48TH STREET NE, WASHINGTON, DC",-76.934038,38.903727,NA,6,602,7,7C,Cluster 31,007806 2,7806,Precinct 93,17073104,405745,137367,5/2/17 23:50,5/3/17 0:00,"1010 48th st ne, washington, dc 20019, usa"
3/16/17 11:22,DAY,MOTOR VEHICLE THEFT,OTHERS,"1010 48TH STREET NE, WASHINGTON, DC",-76.934038,38.903727,NA,6,602,7,7C,Cluster 31,007806 2,7806,Precinct 93,17042774,405745,137367,3/15/17 14:40,3/16/17 7:30,"1010 48th st ne, washington, dc 20019, usa"
9/9/16 4:52,MIDNIGHT,ROBBERY,OTHERS,"1010 48TH STREET NE, WASHINGTON, DC",-76.934038,38.903727,NA,6,602,7,7C,Cluster 31,007806 2,7806,Precinct 93,16152363,405745,137367,9/8/16 17:00,9/8/16 17:40,"1010 48th st ne, washington, dc 20019, usa"
8/5/16 20:09,EVENING,ASSAULT W/DANGEROUS WEAPON,OTHERS,"1010 48TH STREET NE, WASHINGTON, DC",-76.934038,38.903727,NA,6,602,7,7C,Cluster 31,007806 2,7806,Precinct 93,16130707,405745,137367,8/4/16 19:30,8/4/16 20:00,"1010 48th st ne, washington, dc 20019, usa"
6/28/16 11:19,DAY,MOTOR VEHICLE THEFT,OTHERS,"1010 48TH STREET NE, WASHINGTON, DC",-76.934038,38.903727,NA,6,602,7,7C,Cluster 31,007806 2,7806,Precinct 93,16106074,405745,137367,6/27/16 17:45,6/28/16 10:19,"1010 48th st ne, washington, dc 20019, usa"
4/27/17 15:35,EVENING,THEFT/OTHER,OTHERS,"1014 10TH STREET NE, WASHINGTON, DC",-76.9928413,38.903264,NA,1,104,6,6A,Cluster 25,008410 1,8410,Precinct 82,17068945,400638,137291,4/26/17 18:45,4/26/17 19:00,"1014 10th st ne, washington, dc 20002, usa"
8/30/16 6:57,MIDNIGHT,THEFT/OTHER,OTHERS,"1014 10TH STREET NE, WASHINGTON, DC",-76.9928413,38.903264,NA,1,104,6,6A,Cluster 25,008410 1,8410,Precinct 82,16401799,400638,137291,8/26/16 12:00,8/27/16 4:00,"1014 10th st ne, washington, dc 20002, usa"
10/29/16 11:46,DAY,THEFT F/AUTO,OTHERS,"1014 10TH STREET NW, WASHINGTON, DC",-77.02625,38.9031511,NA,3,307,2,2F,Cluster 8,004902 2,4902,Precinct 129,16184280,397746,137335,10/29/16 10:37,,"1014 10th st nw, washington, dc 20001, usa"
